id,price,bathrooms
801749842377802400,143,1
765948794133787300,30,0.5
636274456676328800,157,2
768125251187660400,89,2
49248255,125,1
52059982,63,0.5
783379064435523e3,82,0.5
39125813,118,1
654508528815045200,49,0.5
6726337,115,1
676304446219075300,975,0.5
754903813460938e3,179,1
713836647349232900,172,1
49484842,68,0.5
7.9953445038762394e+17,100,0.5
599521385504516e3,380,2
51499702,175,1
35275920,60,0.5
39549128,301,1.5
53457149,109,1
840031550426599600,41,0.5
40177066,105,0.5
727002652481662100,40,0.5
618451653506979200,80,1
29756137,90,1
831103592058828e3,60,2
52206067,85,0.5
712595606533295600,99,2
47004464,216,1
44322911,150,0.5
43526370,280,2
713690174109417500,143,1
806427836938384300,156,1
817612421033221600,152,1
50661719,128,1
598061003566841200,55,0.5
643319522538575100,225,0.5
15507375,50,1
765948884597839100,70,1
16983203,45,1
803382479124958200,188,1
569077293707368200,28,0.5
39633917,46,0.5
726119851349364700,175,0.5
734881895316818e3,56,0.5
643603500585643300,55,1
51685104,101,1
677152319340682800,215,1
798205651004437900,289,2
822728503736189300,380,2
47808900,50,1
685395980170030200,99,1
35998531,199,1
683526469994587800,151,1
611391968391044700,35,1
50768601,26,0.5
650091090835963e3,109,0.5
1534212,133,1
46895055,89,1
766573366652069200,36,0.5
783203245355470600,99,1
52582634,418,1
385824,151,1
562292220686562100,175,1
7331070,290,2
588433935054614800,85,0.5
51692043,90,1
41753654,90,1
820582593038020100,55,0
46798137,111,1
621880905850087800,120,2
52648586,200,1
51411625,70,0.5
12191010,414,2
50899201,51,0.5
21730735,56,0.5
41854595,75,0.5
619969399390514400,96,1
828569257845586400,72,1
668073532542576800,42,0.5
797171962257038100,56,0.5
586533532794534500,136,1
52781681,56,1
21899575,129,1
43527094,143,1
765706790558508700,250,1
47848650,75,0.5
52060380,199,2
30470947,79,0.5
53065241,125,1
20608954,60,0.5
54392313,80,1
1024647,80,1
816690204697051e3,180,1
774729540866687100,93,1
7.7380471297544806e+17,135,1
2068054,55,1
663613316604002200,34,0.5
805177582182316800,135,1
25407116,59,1
52759879,68,0.5
665445242397088300,99,1
30442333,189,1
44322571,300,1
16780398,60,0.5
795688644341675e3,84,0.5
718814212312265300,160,0.5
816703890518013800,115,1
50434376,28,0.5
674061538194800900,299,2
839655582695838300,68,1
555874446870285950,157,1
9858717,47,0.5
736079522958545400,37,0.5
696464060385021600,51,0.5
607495941651400800,88,0.5
726130285784855700,150,0.5
3469171,155,1
665404376363855600,175,1
8741124,70,0.5
16860045,46,1
696430058923953e3,52,0.5
696441195434644700,51,0.5
802464796859828700,70,1
813815614024157800,79,1
599423382152258300,49,0.5
33769887,99,1
32493667,35,0.5
73606761688914e4,37,0.5
564542475835793900,154,1
6880480,83,1
29440262,166,1
795659323072414100,80,0.5
642669072868604400,139,1
24057583,69,1
693332520080553700,134,1
42882,70,0.5
723956849520711700,99,0.5
39269487,92,1
44283460,179,1
778508798400592300,120,1
647970673581521300,179,2
793077855709558500,55,1
660249422858976400,53,1
48542532,150,0.5
665880453779233e3,125,1
42220146,99,0.5
810121182812489e3,444,NA
785579879561981800,75,0.5
786149074369437300,152,1
7.8170918781043994e+17,45,1
52636880,70,0.5
584635019650832e3,43,0.5
840150322371056e3,64,0
821188169022006900,74,0.5
838494921072734200,70,1
51531844,46,0.5
49814851,90,0.5
803593741698056600,82,0.5
625396851096244100,70,0.5
714824910195696e3,70,0.5
53940686,217,2
50447076,66,0.5
756017911613113e3,93,0.5
48255222,150,1
52535027,164,1
641158076171707400,60,0.5
685676699427435900,72,1
16123943,350,0.5
43207089,67,1
742633464477257100,60,0.5
15192362,43,1
734608902732942700,64,0.5
758886941907045800,120,0.5
42220001,135,1
49046091,60,0.5
823846058822740900,56,0.5
38284238,145,1
3089577,219,2
53310149,50,0.5
27090376,78,1
42160230,1200,3
600578373470638100,69,1
747662642362272800,56,0.5
53891845,62,0.5
759632130925469300,96,1
766254098303221800,89,0.5
52881253,58,0.5
54342999,93,0.5
52637761,90,1
648733025832739500,103,1
564602108695275200,130,1
766620616873935700,104,1
53591828,55,0.5
628175490419691900,145,1
754273232056015700,101,1
45609365,57,1
666928089924200600,120,1
817286942866890600,49,0.5
41089850,136,1
837987873123688700,34,0.5
838355339119551400,250,2
38483199,300,0.5
670239788354887200,130,1
53722444,120,1
686426058732284800,56,1
686417570794395600,51,0.5
33829619,45,0.5
52755410,60,0.5
52672732,175,1
36272957,155,1
664357173915207700,49,1
52935619,150,1
28314777,50,0.5
886808,67,0.5
761515415407789700,155,0.5
643948,82,0.5
705987522451812400,100,0.5
752831071821066600,300,1
5895056,56,0.5
656542401937236e3,110,1
699160316414042100,93,0.5
651913184661974100,69,1
816047365636446300,141,1
749496803777210400,220,2
757247753430080400,60,1
805821187787449500,52,1
51614621,172,1
577857477164670500,299,1
761826648238187100,45,0.5
727094584087324e3,31,0.5
49422007,144,1
54131874,200,2
566763086373559550,63,1
694930103507598500,219,2
37857475,180,2
12711351,43,1
21257726,99,1
53417238,93,1
833400372339269500,74,0.5
34903861,90,1
748797841290668700,120,1
816902359847875500,35,0.5
