"id","wifi","workspace","quiet","all_three","wifi_workspace_only","wifi_only","neighbourhood_cleansed","neighbourhood_group_cleansed","price"
2595,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Midtown","Manhattan",150
5121,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Bedford-Stuyvesant","Brooklyn",60
5136,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Sunset Park","Brooklyn",275
5178,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Midtown","Manhattan",68
5203,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Upper West Side","Manhattan",75
5586,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Upper East Side","Manhattan",295
5803,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"South Slope","Brooklyn",124
6848,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Williamsburg","Brooklyn",81
6872,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"East Harlem","Manhattan",65
6990,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"East Harlem","Manhattan",62
7064,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Williamsburg","Brooklyn",95
7097,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Fort Greene","Brooklyn",205
7801,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Williamsburg","Brooklyn",395
8490,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Bedford-Stuyvesant","Brooklyn",127
9357,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Hell's Kitchen","Manhattan",175
9704,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Harlem","Manhattan",55
10452,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Bedford-Stuyvesant","Brooklyn",90
10962,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"South Slope","Brooklyn",124
11174,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Bushwick","Brooklyn",98
11943,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Flatbush","Brooklyn",150
12192,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"East Village","Manhattan",60
12937,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Long Island City","Queens",164
12940,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Bedford-Stuyvesant","Brooklyn",125
13808,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Bedford-Stuyvesant","Brooklyn",94
14314,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Greenpoint","Brooklyn",129
14434,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Bedford-Stuyvesant","Brooklyn",70
15341,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Lower East Side","Manhattan",199
15385,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Williamsburg","Brooklyn",85
15396,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Chelsea","Manhattan",400
16338,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Clinton Hill","Brooklyn",55
16580,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"East Village","Manhattan",105
16821,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"East Village","Manhattan",136
16974,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"East Harlem","Manhattan",250
17037,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"East Village","Manhattan",220
17693,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Washington Heights","Manhattan",85
